,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,,1.371,,4.505,1.5749999999999997
flexaggro,,,-0.9,,2.153,,5.287,2.3569999999999998
flexaggrod,,0.9,,,3.053,2.3979999999999997,6.187,3.2569999999999997
hyaggro,,,,,1.85,,4.984,2.054
hybrid,-1.371,-2.153,-3.053,-1.85,,,3.134,
payout,,,-2.3979999999999997,,,,3.789,
random,-4.505,-5.287,-6.187,-4.984,-3.134,-3.789,,-2.93
wp,-1.5749999999999997,-2.3569999999999998,-3.2569999999999997,-2.054,,,2.93,
