,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,-2.7340000000000004,-2.844,,,2.024,7.131,
flexaggro,2.7340000000000004,,,3.1820000000000004,4.078,4.758,9.865,4.059
flexaggrod,2.844,,,3.292,4.188,4.867999999999999,9.975,4.169
hyaggro,,-3.1820000000000004,-3.292,,,1.576,6.683,
hybrid,,-4.078,-4.188,,,,5.787,
payout,-2.024,-4.758,-4.867999999999999,-1.576,,,5.107,
random,-7.131,-9.865,-9.975,-6.683,-5.787,-5.107,,-5.806
wp,,-4.059,-4.169,,,,5.806,
