,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,-3.05,,,1.946,1.756,7.594,1.794
flexaggro,3.05,,,3.388,4.9959999999999996,4.806,10.644,4.843999999999999
flexaggrod,,,,2.274,3.882,3.6919999999999997,9.530000000000001,3.73
hyaggro,,-3.388,-2.274,,1.6079999999999999,,7.256,
hybrid,-1.946,-4.9959999999999996,-3.882,-1.6079999999999999,,,5.648000000000001,
payout,-1.756,-4.806,-3.6919999999999997,,,,5.838,
random,-7.594,-10.644,-9.530000000000001,-7.256,-5.648000000000001,-5.838,,-5.800000000000001
wp,-1.794,-4.843999999999999,-3.73,,,,5.800000000000001,
