,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.010583823988085165,0.09032642923787405,0.5515064315256732,0.01027519949183019,0.02624823172188147,3.8197569430551645e-11,0.023425567032383764
flexaggro,0.010583823988085165,1.0,0.06715552659961348,0.003149527900457956,3.030555372545479e-05,6.0390299565108514e-05,1.2675472365165747e-17,6.192329519066485e-05
flexaggrod,0.09032642923787405,0.06715552659961348,1.0,0.03330225654205581,0.0006631497589247036,0.001095313019304882,1.2213514706066233e-15,0.001200464729141906
hyaggro,0.5515064315256732,0.003149527900457956,0.03330225654205581,1.0,0.03411238396864689,0.07258532280025223,6.824477933720411e-11,0.0596830456780649
hybrid,0.01027519949183019,3.030555372545479e-05,0.0006631497589247036,0.03411238396864689,1.0,0.7565046904766639,4.7311274806914213e-07,0.8260192557043293
payout,0.02624823172188147,6.0390299565108514e-05,0.001095313019304882,0.07258532280025223,0.7565046904766639,1.0,2.1568054598155195e-07,0.9510396189725754
random,3.8197569430551645e-11,1.2675472365165747e-17,1.2213514706066233e-15,6.824477933720411e-11,4.7311274806914213e-07,2.1568054598155195e-07,1.0,3.6168110533262537e-07
wp,0.023425567032383764,6.192329519066485e-05,0.001200464729141906,0.0596830456780649,0.8260192557043293,0.9510396189725754,3.6168110533262537e-07,1.0
