,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,,,1.291,6.896,1.5709999999999997
flexaggro,,,,,2.192,2.274,7.879,2.554
flexaggrod,,,,,2.352,2.434,8.039,2.714
hyaggro,,,,,,,6.156,
hybrid,,-2.192,-2.352,,,,5.686999999999999,
payout,-1.291,-2.274,-2.434,,,,5.6049999999999995,
random,-6.896,-7.879,-8.039,-6.156,-5.686999999999999,-5.6049999999999995,,-5.324999999999999
wp,-1.5709999999999997,-2.554,-2.714,,,,5.324999999999999,
