,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.17662610909281753,0.17662610909281753,,0.34343639613791355,,0.19067326124163725,0.19067326124163725,0.34343639613791355
flexaggro,0.17662610909281753,1.0,,0.17662610909281753,0.4991608707712366,0.17662610909281753,0.602273371314423,0.602273371314423,0.4991608707712366
flexaggrod,0.17662610909281753,,1.0,0.17662610909281753,0.4991608707712366,0.17662610909281753,0.602273371314423,0.602273371314423,0.4991608707712366
hyaggro,,0.17662610909281753,0.17662610909281753,1.0,0.34343639613791355,,0.19067326124163725,0.19067326124163725,0.34343639613791355
hybrid,0.34343639613791355,0.4991608707712366,0.4991608707712366,0.34343639613791355,1.0,0.34343639613791355,0.34343639613791366,0.34343639613791366,
payout,,0.17662610909281753,0.17662610909281753,,0.34343639613791355,1.0,0.19067326124163725,0.19067326124163725,0.34343639613791355
random,0.19067326124163725,0.602273371314423,0.602273371314423,0.19067326124163725,0.34343639613791366,0.19067326124163725,1.0,,0.34343639613791366
rl,0.19067326124163725,0.602273371314423,0.602273371314423,0.19067326124163725,0.34343639613791366,0.19067326124163725,,1.0,0.34343639613791366
wp,0.34343639613791355,0.4991608707712366,0.4991608707712366,0.34343639613791355,,0.34343639613791355,0.34343639613791366,0.34343639613791366,1.0
