,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.3538418776407337,0.27677299511149184,0.0632829673073466,0.06717783775414637,0.0348457316891604,2.123032441754774e-09,0.02065985989335257
flexaggro,0.3538418776407337,1.0,0.7286216407176682,0.090892794346972,0.0483068163452938,0.03642627974567705,1.206978852796066e-11,0.01857084907368908
flexaggrod,0.27677299511149184,0.7286216407176682,1.0,0.0648203826544882,0.03144173230563024,0.023584231450994333,2.3422657466945582e-12,0.011904488098873766
hyaggro,0.0632829673073466,0.090892794346972,0.0648203826544882,1.0,0.45689273983020817,0.36453418493480905,3.41293888690557e-08,0.20723283797289124
hybrid,0.06717783775414637,0.0483068163452938,0.03144173230563024,0.45689273983020817,1.0,0.855520074233363,2.2216096796690774e-07,0.4478232640351365
payout,0.0348457316891604,0.03642627974567705,0.023584231450994333,0.36453418493480905,0.855520074233363,1.0,5.755816431061914e-07,0.5506205088548597
random,2.123032441754774e-09,1.206978852796066e-11,2.3422657466945582e-12,3.41293888690557e-08,2.2216096796690774e-07,5.755816431061914e-07,1.0,1.3609133182233514e-06
wp,0.02065985989335257,0.01857084907368908,0.011904488098873766,0.20723283797289124,0.4478232640351365,0.5506205088548597,1.3609133182233514e-06,1.0
