,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.012655686899354052,0.013773882976651814,0.8598658608676846,0.0022487110264096566,0.0136691421523205,2.0706815276037371e-10,0.023801849823741773
flexaggro,0.012655686899354052,1.0,0.9686798778148367,0.0149874005273278,5.708735564579694e-06,3.320399862728252e-05,1.4109661967893547e-16,8.90599080772893e-05
flexaggrod,0.013773882976651814,0.9686798778148367,1.0,0.01825112943474362,1.1071079775226985e-05,3.880591275197549e-05,4.2751474182871995e-16,0.00010541415684535286
hyaggro,0.8598658608676846,0.0149874005273278,0.01825112943474362,1.0,0.002026560249240928,0.007875283262864722,1.7573950903394356e-10,0.016676027953931024
hybrid,0.0022487110264096566,5.708735564579694e-06,1.1071079775226985e-05,0.002026560249240928,1.0,0.5807921750173735,1.7057241981775546e-05,0.38879496458051854
payout,0.0136691421523205,3.320399862728252e-05,3.880591275197549e-05,0.007875283262864722,0.5807921750173735,1.0,2.85227839189043e-06,0.7367203415052385
random,2.0706815276037371e-10,1.4109661967893547e-16,4.2751474182871995e-16,1.7573950903394356e-10,1.7057241981775546e-05,2.85227839189043e-06,1.0,1.7231405003482439e-06
wp,0.023801849823741773,8.90599080772893e-05,0.00010541415684535286,0.016676027953931024,0.38879496458051854,0.7367203415052385,1.7231405003482439e-06,1.0
