,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,,3.702,3.074,14.452000000000002,4.077999999999999
flexaggro,,,,,7.117,7.228,16.955,7.664
flexaggrod,,,,,7.634,7.199999999999999,17.871,6.484
hyaggro,,,,,3.391,2.955,18.874,3.4899999999999998
hybrid,-3.702,-7.117,-7.634,-3.391,,,12.201,
payout,-3.074,-7.228,-7.199999999999999,-2.955,,,13.953,
random,-14.452000000000002,-16.955,-17.871,-18.874,-12.201,-13.953,,-14.562999999999999
wp,-4.077999999999999,-7.664,-6.484,-3.4899999999999998,,,14.562999999999999,
