,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.015419390982970118,0.012103940493001019,0.4433822675717951,0.06176923284212849,0.009380467444427401,7.93251747998951e-10,0.0872159738426165
flexaggro,0.015419390982970118,1.0,0.8601801571214843,0.004535878145367806,0.0004271465806925575,9.850561514337362e-06,4.4900158669999935e-17,0.00030055949436691486
flexaggrod,0.012103940493001019,0.8601801571214843,1.0,0.0029567362092015833,0.0003699954649587141,1.7100980733320725e-05,6.557194571196572e-17,0.0001933714880174536
hyaggro,0.4433822675717951,0.004535878145367806,0.0029567362092015833,1.0,0.24178465113573458,0.04250996413794455,7.626904553725987e-09,0.2666520445371386
hybrid,0.06176923284212849,0.0004271465806925575,0.0003699954649587141,0.24178465113573458,1.0,0.296042563432012,2.431078483167414e-07,0.975560906273585
payout,0.009380467444427401,9.850561514337362e-06,1.7100980733320725e-05,0.04250996413794455,0.296042563432012,1.0,2.3491203397134587e-06,0.294651241675275
random,7.93251747998951e-10,4.4900158669999935e-17,6.557194571196572e-17,7.626904553725987e-09,2.431078483167414e-07,2.3491203397134587e-06,1.0,6.008560722395201e-08
wp,0.0872159738426165,0.00030055949436691486,0.0001933714880174536,0.2666520445371386,0.975560906273585,0.294651241675275,6.008560722395201e-08,1.0
