,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.46752750186947234,0.2846269037148551,0.0943258805886735,0.0506107180163128,0.5517913500271817,6.375011937506811e-14,0.718110762151744
flexaggro,0.46752750186947234,1.0,0.7436713634889254,0.3381655464753631,0.006904699324769243,0.18104206935846226,2.9757701474896377e-15,0.2712396350679103
flexaggrod,0.2846269037148551,0.7436713634889254,1.0,0.5404646128295754,0.0027224208886028286,0.08998969336116076,6.467075165467681e-18,0.15167844385185558
hyaggro,0.0943258805886735,0.3381655464753631,0.5404646128295754,1.0,0.00019812541072188763,0.018584586992536147,1.0318626181284379e-19,0.037986723584773285
hybrid,0.0506107180163128,0.006904699324769243,0.0027224208886028286,0.00019812541072188763,1.0,0.15419536589484611,2.9844309776310985e-08,0.11138264205977337
payout,0.5517913500271817,0.18104206935846226,0.08998969336116076,0.018584586992536147,0.15419536589484611,1.0,1.8359259567281105e-12,0.8175387233835123
random,6.375011937506811e-14,2.9757701474896377e-15,6.467075165467681e-18,1.0318626181284379e-19,2.9844309776310985e-08,1.8359259567281105e-12,1.0,2.804864809000769e-12
wp,0.718110762151744,0.2712396350679103,0.15167844385185558,0.037986723584773285,0.11138264205977337,0.8175387233835123,2.804864809000769e-12,1.0
