,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,-2.7489999999999997,-2.7249999999999996,,2.295,1.972,7.066,1.7850000000000001
flexaggro,2.7489999999999997,,,2.652,5.044,4.721,9.815,4.534
flexaggrod,2.7249999999999996,,,2.628,5.02,4.697,9.791,4.51
hyaggro,,-2.652,-2.628,,2.392,2.069,7.162999999999999,1.8820000000000001
hybrid,-2.295,-5.044,-5.02,-2.392,,,4.771,
payout,-1.972,-4.721,-4.697,-2.069,,,5.093999999999999,
random,-7.066,-9.815,-9.791,-7.162999999999999,-4.771,-5.093999999999999,,-5.281
wp,-1.7850000000000001,-4.534,-4.51,-1.8820000000000001,,,5.281,
