opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-11.146666666666667,-12.680083333333332,-9.596416666666666,4.464768029187276e-36
flexaggro,-13.136666666666667,-14.627083333333333,-11.652916666666668,6.027509993890456e-45
flexaggrod,-10.88,-12.403500000000001,-9.433250000000001,1.5463513629651167e-35
hyaggro,-12.303333333333333,-13.717333333333334,-10.952833333333334,3.3743338071483913e-46
hybrid,-8.906666666666666,-10.390166666666667,-7.563166666666667,9.603772346431784e-27
payout,-8.523333333333333,-9.97675,-7.256583333333333,1.9588537423227804e-26
random,-4.99,-6.180166666666667,-3.7197500000000003,3.127922624680443e-14
wp,-9.296666666666667,-10.76725,-7.773083333333334,8.236341430497575e-29
