opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-11.353333333333333,-13.247,-9.399583333333334,1.5594519668118396e-25
flexaggro,-9.703333333333333,-11.610083333333332,-7.783,1.3489479449160444e-20
flexaggrod,-11.223333333333333,-13.178083333333332,-9.341750000000001,4.509455293950313e-23
hyaggro,-11.186666666666667,-12.846916666666665,-9.346166666666667,3.4605377564629214e-28
hybrid,-6.183333333333334,-8.0305,-4.246666666666667,4.120882804997979e-10
payout,-7.616666666666666,-9.507,-5.49325,1.7351962820586399e-13
random,-3.3833333333333333,-5.25675,-1.3398333333333337,0.0014266379364523715
wp,-5.08,-6.76,-3.2420833333333343,4.2385749548769336e-08
