,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.9189422001176687,0.9778403696970831,0.6352299932013006,0.010208321376269171,0.010680637272794344,0.0005682423613792444,0.07385203087556383
flexaggro,0.9189422001176687,1.0,0.930356429610532,0.5561040220737155,0.019955525569555987,0.02234560430985089,0.001114016141744782,0.1429048761887147
flexaggrod,0.9778403696970831,0.930356429610532,1.0,0.5697876624983573,0.006520595836942646,0.00449018519818082,0.00011824774727878041,0.0719403164557125
hyaggro,0.6352299932013006,0.5561040220737155,0.5697876624983573,1.0,0.0016555980553917221,0.001634813402983146,4.611065400087783e-05,0.0257351661895229
hybrid,0.010208321376269171,0.019955525569555987,0.006520595836942646,0.0016555980553917221,1.0,0.948398874443388,0.2532969406889179,0.45532678084033096
payout,0.010680637272794344,0.02234560430985089,0.00449018519818082,0.001634813402983146,0.948398874443388,1.0,0.28035027338385005,0.4271005868079495
random,0.0005682423613792444,0.001114016141744782,0.00011824774727878041,4.611065400087783e-05,0.2532969406889179,0.28035027338385005,1.0,0.09913931443976072
wp,0.07385203087556383,0.1429048761887147,0.0719403164557125,0.0257351661895229,0.45532678084033096,0.4271005868079495,0.09913931443976072,1.0
