,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,6.648,9.072,13.004,13.584,18.992
flexaggro,,,,,12.675999999999998,7.712,15.84,11.516
flexaggrod,,,,,9.368,11.443999999999999,18.116,9.783999999999999
hyaggro,-6.648,,,,14.404,11.392,11.411999999999999,9.828
hybrid,-9.072,-12.675999999999998,-9.368,-14.404,,,,
payout,-13.004,-7.712,-11.443999999999999,-11.392,,,4.9,
random,-13.584,-15.84,-18.116,-11.411999999999999,,-4.9,,-5.864
wp,-18.992,-11.516,-9.783999999999999,-9.828,,,5.864,
