,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.8615536715839011,0.5210359274959431,0.2722999115552948,0.52097952751061,0.22687832936804941,0.020625303275,0.07167266659785507
flexaggro,0.8615536715839011,1.0,0.40453031320725574,0.35073754429700477,0.4183532739167657,0.17439435515884524,0.011367214629196997,0.042526012350357544
flexaggrod,0.5210359274959431,0.40453031320725574,1.0,0.0878713390362786,0.9916122047175084,0.5432119427747376,0.09002463889277973,0.22573318634606762
hyaggro,0.2722999115552948,0.35073754429700477,0.0878713390362786,1.0,0.06894449841952015,0.01823269577310466,0.0006260663458432813,0.002786604060690983
hybrid,0.52097952751061,0.4183532739167657,0.9916122047175084,0.06894449841952015,1.0,0.5334841343898956,0.08309810747281567,0.2536157935377371
payout,0.22687832936804941,0.17439435515884524,0.5432119427747376,0.01823269577310466,0.5334841343898956,1.0,0.2639884985875264,0.5983588415412993
random,0.020625303275,0.011367214629196997,0.09002463889277973,0.0006260663458432813,0.08309810747281567,0.2639884985875264,1.0,0.5311910534113506
wp,0.07167266659785507,0.042526012350357544,0.22573318634606762,0.002786604060690983,0.2536157935377371,0.5983588415412993,0.5311910534113506,1.0
