,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.2813458931504806,0.7043627233392624,0.014185887019990516,0.00032010916838274,1.3090788245914257e-06,6.716320132889885e-11,1.5193750733604763e-13
flexaggro,0.2813458931504806,1.0,0.6451752811454747,0.26327816542390664,2.209754999459101e-07,0.0016559961844103237,2.122390804425886e-12,2.5798751018139096e-05
flexaggrod,0.7043627233392624,0.6451752811454747,1.0,0.3895356280153195,2.9083620777536874e-05,1.5202713626890058e-06,4.0001607123134463e-13,0.00011758057373944443
hyaggro,0.014185887019990516,0.26327816542390664,0.3895356280153195,1.0,2.969394978503091e-09,1.1025552741037603e-05,1.237086472843343e-06,8.375687978766114e-05
hybrid,0.00032010916838274,2.209754999459101e-07,2.9083620777536874e-05,2.969394978503091e-09,1.0,0.36149263867261416,0.3756406357323292,0.8350761890910905
payout,1.3090788245914257e-06,0.0016559961844103237,1.5202713626890058e-06,1.1025552741037603e-05,0.36149263867261416,1.0,0.015517327795457954,0.5859553625622504
random,6.716320132889885e-11,2.122390804425886e-12,4.0001607123134463e-13,1.237086472843343e-06,0.3756406357323292,0.015517327795457954,1.0,0.004340246541403328
wp,1.5193750733604763e-13,2.5798751018139096e-05,0.00011758057373944443,8.375687978766114e-05,0.8350761890910905,0.5859553625622504,0.004340246541403328,1.0
