,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.48697788245648554,0.24106636767387074,0.2870398813373109,0.00905292490765128,0.0014897777296238434,2.388176838328822e-06,1.275160680078195e-06
flexaggro,0.48697788245648554,1.0,0.6576216257120961,0.7514383022739661,0.032027526927271434,0.009212354763739635,0.00014521661023346002,2.2225550942463944e-05
flexaggrod,0.24106636767387074,0.6576216257120961,1.0,0.8928685051750871,0.09528745032992321,0.031840202368760555,0.00031137331574834987,0.0001397672951750105
hyaggro,0.2870398813373109,0.7514383022739661,0.8928685051750871,1.0,0.07449598807502456,0.020034682427327255,0.0005148666461327098,9.723793685462775e-05
hybrid,0.00905292490765128,0.032027526927271434,0.09528745032992321,0.07449598807502456,1.0,0.6255315364705525,0.12724025230955374,0.06119061749932058
payout,0.0014897777296238434,0.009212354763739635,0.031840202368760555,0.020034682427327255,0.6255315364705525,1.0,0.343789741344083,0.15702806268738045
random,2.388176838328822e-06,0.00014521661023346002,0.00031137331574834987,0.0005148666461327098,0.12724025230955374,0.343789741344083,1.0,0.566508054879557
wp,1.275160680078195e-06,2.2225550942463944e-05,0.0001397672951750105,9.723793685462775e-05,0.06119061749932058,0.15702806268738045,0.566508054879557,1.0
