opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-8.763333333333334,-10.751416666666666,-6.619000000000001,2.4335679185366127e-14
flexaggro,-8.833333333333334,-11.246916666666666,-6.1,1.5116880730967905e-11
flexaggrod,-7.516666666666667,-9.820666666666668,-4.962916666666667,1.169270782026963e-09
hyaggro,-6.726666666666667,-8.97425,-4.469916666666666,4.340130486651507e-08
hybrid,-0.34,-3.1175,2.3202499999999997,0.8088686098605914
payout,-1.8466666666666667,-4.303833333333333,0.7603333333333331,0.14752974383820636
random,0.5366666666666666,-1.8669166666666668,2.9907499999999994,0.6672822114243775
wp,-2.3966666666666665,-4.690416666666667,0.20724999999999946,0.05246753710823349
