,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.27591759900795354,0.12033741982730088,0.0076357925196022655,5.9023103794252483e-05,0.0016922348670530575,2.9452558899079634e-06,0.005027263761766289
flexaggro,0.27591759900795354,1.0,0.6571212151293873,0.13008675748251325,0.004701404407780801,0.05106665438750298,0.0006510798353359149,0.060091623915640276
flexaggrod,0.12033741982730088,0.6571212151293873,1.0,0.2874122992388818,0.02666436337048194,0.13051362626878227,0.005243219913973311,0.22636865397927075
hyaggro,0.0076357925196022655,0.13008675748251325,0.2874122992388818,1.0,0.19207548381647835,0.5682758306285918,0.044685044560748795,0.827566839438796
hybrid,5.9023103794252483e-05,0.004701404407780801,0.02666436337048194,0.19207548381647835,1.0,0.47477737346079973,0.4847264968670357,0.2578189197365735
payout,0.0016922348670530575,0.05106665438750298,0.13051362626878227,0.5682758306285918,0.47477737346079973,1.0,0.1640521023726246,0.7303402737329907
random,2.9452558899079634e-06,0.0006510798353359149,0.005243219913973311,0.044685044560748795,0.4847264968670357,0.1640521023726246,1.0,0.08018944245040675
wp,0.005027263761766289,0.060091623915640276,0.22636865397927075,0.827566839438796,0.2578189197365735,0.7303402737329907,0.08018944245040675,1.0
