,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,,5.036,,4.712,
flexaggro,,,,,4.443999999999999,,4.119999999999999,
flexaggrod,,,,,8.219999999999999,6.672,7.896,5.944
hyaggro,,,,,4.552,,,
hybrid,-5.036,-4.443999999999999,-8.219999999999999,-4.552,,,,
payout,,,-6.672,,,,,
random,-4.712,-4.119999999999999,-7.896,,,,,
wp,,,-5.944,,,,,
