,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.9577899461274184,0.5606495681678901,0.12376166997357994,0.051955871732951124,0.010018380922234765,4.693703622420914e-06,1.3892407049130857e-05
flexaggro,0.9577899461274184,1.0,0.5222293117778256,0.1456588607685198,0.06146994883137608,0.013132579083312149,4.6784954133998824e-05,1.072870460612395e-05
flexaggrod,0.5606495681678901,0.5222293117778256,1.0,0.35776153102330077,0.1969657992187629,0.0340041674234096,0.00012597617744007053,3.8897116800051954e-05
hyaggro,0.12376166997357994,0.1456588607685198,0.35776153102330077,1.0,0.7999245225621774,0.307114933968633,0.006013900028005463,0.003901780103950293
hybrid,0.051955871732951124,0.06146994883137608,0.1969657992187629,0.7999245225621774,1.0,0.3911438656329731,0.004358807771965325,0.002765938463332622
payout,0.010018380922234765,0.013132579083312149,0.0340041674234096,0.307114933968633,0.3911438656329731,1.0,0.09258038647370555,0.06224325096426984
random,4.693703622420914e-06,4.6784954133998824e-05,0.00012597617744007053,0.006013900028005463,0.004358807771965325,0.09258038647370555,1.0,0.7226742826174686
wp,1.3892407049130857e-05,1.072870460612395e-05,3.8897116800051954e-05,0.003901780103950293,0.002765938463332622,0.06224325096426984,0.7226742826174686,1.0
