,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,-5.04,-6.056,,,,4.86,
flexaggro,5.04,,,5.396,7.992,7.824,9.9,5.5760000000000005
flexaggrod,6.056,,,6.412,9.008,8.84,10.916,6.5920000000000005
hyaggro,,-5.396,-6.412,,,,4.5040000000000004,
hybrid,,-7.992,-9.008,,,,,
payout,,-7.824,-8.84,,,,,
random,-4.86,-9.9,-10.916,-4.5040000000000004,,,,-4.324
wp,,-5.5760000000000005,-6.5920000000000005,,,,4.324,
