,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.07908903025375799,0.5365367988424157,0.8760774044285657,0.006843396842257635,0.00045249435425111136,1.331899573448522e-05,0.0010201055451843904
flexaggro,0.07908903025375799,1.0,0.23570424586056812,0.11404643563924613,0.30500363323455965,0.06277612417887012,0.015025200105863308,0.15228717478630333
flexaggrod,0.5365367988424157,0.23570424586056812,1.0,0.6428860028700727,0.022004296977516463,0.001761336126120662,0.00026136226375942365,0.005619591766011236
hyaggro,0.8760774044285657,0.11404643563924613,0.6428860028700727,1.0,0.009655015500489408,0.00047965344552207656,1.744121487400139e-05,0.0008042925929203058
hybrid,0.006843396842257635,0.30500363323455965,0.022004296977516463,0.009655015500489408,1.0,0.4590626095439111,0.19782490387464174,0.6831141135871007
payout,0.00045249435425111136,0.06277612417887012,0.001761336126120662,0.00047965344552207656,0.4590626095439111,1.0,0.52158703770011,0.7018124963338445
random,1.331899573448522e-05,0.015025200105863308,0.00026136226375942365,1.744121487400139e-05,0.19782490387464174,0.52158703770011,1.0,0.31712992780641086
wp,0.0010201055451843904,0.15228717478630333,0.005619591766011236,0.0008042925929203058,0.6831141135871007,0.7018124963338445,0.31712992780641086,1.0
