,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,1.0,0.2091923177633499,0.49568659142533533,0.651256100687299,0.341065594173929,0.0001700338333520518,0.5102240945360744
flexaggro,0.2091923177633499,1.0,0.5711896429435832,0.07659006031460766,0.022120256232194775,4.3823930690595966e-07,0.05236335395673925
flexaggrod,0.49568659142533533,0.5711896429435832,1.0,0.26462129650353516,0.10896360921997025,1.5037240365391594e-05,0.18285667431639333
hybrid,0.651256100687299,0.07659006031460766,0.26462129650353516,1.0,0.6060179354831834,0.0008918341753344632,0.8450064799096131
payout,0.341065594173929,0.022120256232194775,0.10896360921997025,0.6060179354831834,1.0,0.004263096336095409,0.7489695856245155
random,0.0001700338333520518,4.3823930690595966e-07,1.5037240365391594e-05,0.0008918341753344632,0.004263096336095409,1.0,0.0015479139022151623
wp,0.5102240945360744,0.05236335395673925,0.18285667431639333,0.8450064799096131,0.7489695856245155,0.0015479139022151623,1.0
