,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,,,,,,
flexaggro,,,0.156,,,,
flexaggrod,,-0.156,,,,,
hybrid,,,,,,,
payout,,,,,,,
random,,,,,,,
wp,,,,,,,
