,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,1.0,0.2008543705956811,0.25657730203197615,0.2915664467543241,0.2179395447178017,0.2771478626697357,0.2154313686051976
flexaggro,0.2008543705956811,1.0,0.4180075455191883,0.4346511129056313,0.5258747392953772,0.02344528932577375,0.5039869753216575
flexaggrod,0.25657730203197615,0.4180075455191883,1.0,0.5314424285729391,0.6307018224713211,0.03279337939493672,0.605648789419956
hybrid,0.2915664467543241,0.4346511129056313,0.5314424285729391,1.0,0.7087735963265194,0.11264757857127293,0.7362593900146495
payout,0.2179395447178017,0.5258747392953772,0.6307018224713211,0.7087735963265194,1.0,0.08773303603648613,0.9197768844320094
random,0.2771478626697357,0.02344528932577375,0.03279337939493672,0.11264757857127293,0.08773303603648613,1.0,0.09543629073903961
wp,0.2154313686051976,0.5039869753216575,0.605648789419956,0.7362593900146495,0.9197768844320094,0.09543629073903961,1.0
