,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,1.0,0.19224195142291672,0.3127805849446841,0.4825457694227956,0.4289991081437692,0.7824240279120269,0.13745446037744372
flexaggro,0.19224195142291672,1.0,0.04311348286548246,0.3238473317769701,0.3591020161923191,0.1516694542896607,0.588794071208737
flexaggrod,0.3127805849446841,0.04311348286548246,1.0,0.49532401285958383,0.5379642756885684,0.24417357116097457,0.8106879063367017
hybrid,0.4825457694227956,0.3238473317769701,0.49532401285958383,1.0,0.8525876085338027,0.5358424435096397,0.18044570166884527
payout,0.4289991081437692,0.3591020161923191,0.5379642756885684,0.8525876085338027,1.0,0.49814426556667857,0.28853706358678116
random,0.7824240279120269,0.1516694542896607,0.24417357116097457,0.5358424435096397,0.49814426556667857,1.0,0.31082910182748574
wp,0.13745446037744372,0.588794071208737,0.8106879063367017,0.18044570166884527,0.28853706358678116,0.31082910182748574,1.0
