,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,1.0,0.28255707130252206,0.26567033467733553,0.6981099679957773,0.6857044371824241,0.027914785223314323,0.8747398044415786
flexaggro,0.28255707130252206,1.0,0.945023123807943,0.3823100197119249,0.39287639013280073,0.0022768533794054265,0.31441917589769103
flexaggrod,0.26567033467733553,0.945023123807943,1.0,0.37150909162676116,0.37891862370318496,0.002435407999554278,0.28676095648689826
hybrid,0.6981099679957773,0.3823100197119249,0.37150909162676116,1.0,0.9666221105161793,0.017825326092688172,0.8013435184156529
payout,0.6857044371824241,0.39287639013280073,0.37891862370318496,0.9666221105161793,1.0,0.018572150197034065,0.7694541736904261
random,0.027914785223314323,0.0022768533794054265,0.002435407999554278,0.017825326092688172,0.018572150197034065,1.0,0.023951230893442615
wp,0.8747398044415786,0.31441917589769103,0.28676095648689826,0.8013435184156529,0.7694541736904261,0.023951230893442615,1.0
