,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,,,,,,
flexaggro,,,,,,1.6150000000000002,
flexaggrod,,,,,,1.525,
hybrid,,,,,,,
payout,,,,,,,
random,,-1.6150000000000002,-1.525,,,,
wp,,,,,,,
