,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,,,,,1.829,
flexaggro,,,,,,2.409,
flexaggrod,,,,,,2.001,
hybrid,,,,,,1.4829999999999999,
payout,,,,,,1.7049999999999998,
random,-1.829,-2.409,-2.001,-1.4829999999999999,-1.7049999999999998,,-1.73
wp,,,,,,1.73,
