,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,,,,,1.156,
flexaggro,,,,,,1.7229999999999999,
flexaggrod,,,,,,1.741,
hybrid,,,,,,1.275,
payout,,,,,,1.286,
random,-1.156,-1.7229999999999999,-1.741,-1.275,-1.286,,-1.204
wp,,,,,,1.204,
