,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,-2.182,-2.013,,,2.142,
flexaggro,2.182,,,1.214,1.48,3.994,1.225
flexaggrod,2.013,,,1.246,,3.1799999999999997,1.282
hybrid,,-1.214,-1.246,,,2.69,
payout,,-1.48,,,,2.761,
random,-2.142,-3.994,-3.1799999999999997,-2.69,-2.761,,-3.029
wp,,-1.225,-1.282,,,3.029,
