,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,,,,,2.045,
flexaggro,,,,,1.2720000000000002,2.7830000000000004,
flexaggrod,,,,,,2.451,
hybrid,,,,,,1.791,
payout,,-1.2720000000000002,,,,1.511,
random,-2.045,-2.7830000000000004,-2.451,-1.791,-1.511,,-1.684
wp,,,,,,1.684,
