,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,,,,,0.874,2.051,
flexaggro,,,,,1.0539999999999998,2.231,
flexaggrod,,,,,1.267,2.444,
hybrid,,,,,0.637,1.8139999999999998,
payout,-0.874,-1.0539999999999998,-1.267,-0.637,,1.177,-0.579
random,-2.051,-2.231,-2.444,-1.8139999999999998,-1.177,,-1.756
wp,,,,,0.579,1.756,
