,aggro,flexaggro,flexaggrod,hybrid,payout,random,wp
aggro,1.0,0.21688057418414158,0.27317041469862424,0.8090348447452388,0.4577265522841871,0.10040117804542856,0.953660842410222
flexaggro,0.21688057418414158,1.0,0.7407010622731574,0.15643981359021383,0.06315232523198994,0.004024029730408628,0.20237606174151263
flexaggrod,0.27317041469862424,0.7407010622731574,1.0,0.20315468981281062,0.08652945834659687,0.006467820541042707,0.2549987198591116
hybrid,0.8090348447452388,0.15643981359021383,0.20315468981281062,1.0,0.538927774005513,0.12534483237422023,0.8411729219562643
payout,0.4577265522841871,0.06315232523198994,0.08652945834659687,0.538927774005513,1.0,0.2469504589579439,0.4329615464002272
random,0.10040117804542856,0.004024029730408628,0.006467820541042707,0.12534483237422023,0.2469504589579439,1.0,0.11232926623499777
wp,0.953660842410222,0.20237606174151263,0.2549987198591116,0.8411729219562643,0.4329615464002272,0.11232926623499777,1.0
