opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-8.323333333333334,-10.637083333333333,-5.942333333333334,7.293964321132825e-11
flexaggro,-7.713333333333333,-10.133583333333332,-5.309916666666666,1.6092681486503498e-09
flexaggrod,-8.5,-10.770999999999999,-6.0865,4.586251915527767e-11
hyaggro,-7.403333333333333,-10.026666666666667,-4.816583333333333,3.8971173906885894e-08
hybrid,-5.263333333333334,-7.317666666666667,-2.922916666666667,4.884700185245658e-06
payout,-2.33,-4.700166666666667,0.2568333333333332,0.06694957605601877
random,-1.96,-3.97775,0.2034166666666666,0.06616320824838128
wp,-2.8933333333333335,-5.357083333333333,-0.529333333333334,0.017567919546135524
