opponent,mean_points,ci_low,ci_high,pvalue_vs_zero
aggro,-11.49,-12.917083333333332,-10.096499999999999,8.645144928849998e-41
flexaggro,-10.46,-11.88725,-8.975750000000001,3.027175118744583e-33
flexaggrod,-10.786666666666667,-12.277083333333334,-9.289333333333333,1.5125501055617514e-35
hyaggro,-10.77,-12.190083333333332,-9.289666666666665,3.588949394224607e-36
hybrid,-8.763333333333334,-10.093333333333334,-7.416250000000001,4.7769448165434634e-30
payout,-9.33,-10.636833333333334,-8.049916666666668,6.299887958325773e-35
random,-5.11,-6.270083333333333,-3.8699166666666667,1.8886153503013228e-14
wp,-8.83,-10.133916666666666,-7.4464999999999995,5.040622499719226e-29
