,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.48328570809225,0.4157921402536663,0.7299779383518132,0.18859961710647558,0.6283611401063649,0.12467437665283174,8.866584445361474e-09,0.9806436055257924
flexaggro,0.48328570809225,1.0,0.15064340746890337,0.5813337221522269,0.9195217744677835,0.6631107256257964,0.04901891438493561,3.7348768894626754e-08,0.46158534926389905
flexaggrod,0.4157921402536663,0.15064340746890337,1.0,0.5011625397188962,0.9887456195973239,0.5801779404335392,0.03751074221204025,1.9324186581236197e-08,0.39141561334651453
hyaggro,0.7299779383518132,0.5813337221522269,0.5011625397188962,1.0,0.06707794758096582,0.7591592725143893,0.10488535441909624,1.3283692723992066e-08,0.5347632149723816
hybrid,0.18859961710647558,0.9195217744677835,0.9887456195973239,0.06707794758096582,1.0,0.1493117324888666,0.029357867137611723,6.157332730755922e-10,0.013348877537972655
payout,0.6283611401063649,0.6631107256257964,0.5801779404335392,0.7591592725143893,0.1493117324888666,1.0,0.09177285565041607,1.940396012757768e-08,0.3378988477226509
random,0.12467437665283174,0.04901891438493561,0.03751074221204025,0.10488535441909624,0.029357867137611723,0.09177285565041607,1.0,2.103991353178001e-05,0.1575239335151475
rl,8.866584445361474e-09,3.7348768894626754e-08,1.9324186581236197e-08,1.3283692723992066e-08,6.157332730755922e-10,1.940396012757768e-08,2.103991353178001e-05,1.0,8.035428544554229e-08
wp,0.9806436055257924,0.46158534926389905,0.39141561334651453,0.5347632149723816,0.013348877537972655,0.3378988477226509,0.1575239335151475,8.035428544554229e-08,1.0
