,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,,,,,,3.5,
flexaggro,,,,,,,,4.314,
flexaggrod,,,,,,,,4.296,
hyaggro,,,,,,,,3.668,
hybrid,,,,,,,,3.6940000000000004,
payout,,,,,,,,3.6660000000000004,
random,,,,,,,,3.178,
rl,-3.5,-4.314,-4.296,-3.668,-3.6940000000000004,-3.6660000000000004,-3.178,,-3.878
wp,,,,,,,,3.878,
