,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.886983189201136,0.8661319804905768,0.8672413066821838,0.4906651277984183,0.47434835849750767,0.025102073094150874,3.9178557376806224e-08,0.9255495457199095
flexaggro,0.886983189201136,1.0,0.5491194375511698,0.8090666931633645,0.773784962652369,0.541891655770671,0.017493408689965843,4.579561661220767e-10,0.8370823148123204
flexaggrod,0.8661319804905768,0.5491194375511698,1.0,0.9296829942351483,0.5507528826046981,0.771456086547332,0.00562913818843383,8.267947142347386e-11,0.9049147350225982
hyaggro,0.8672413066821838,0.8090666931633645,0.9296829942351483,1.0,0.3163843142482576,0.4580236571186663,0.017550978910259682,5.652105374922028e-09,0.9484079015892819
hybrid,0.4906651277984183,0.773784962652369,0.5507528826046981,0.3163843142482576,1.0,0.11272139509466611,0.0696125241356964,2.6041859123144177e-07,0.3469676573285825
payout,0.47434835849750767,0.541891655770671,0.771456086547332,0.4580236571186663,0.11272139509466611,1.0,0.008289897617951748,3.2441599083304318e-09,0.4285685102937006
random,0.025102073094150874,0.017493408689965843,0.00562913818843383,0.017550978910259682,0.0696125241356964,0.008289897617951748,1.0,0.00016014643079802739,0.020839278690333217
rl,3.9178557376806224e-08,4.579561661220767e-10,8.267947142347386e-11,5.652105374922028e-09,2.6041859123144177e-07,3.2441599083304318e-09,0.00016014643079802739,1.0,1.1274169037919537e-08
wp,0.9255495457199095,0.8370823148123204,0.9049147350225982,0.9484079015892819,0.3469676573285825,0.4285685102937006,0.020839278690333217,1.1274169037919537e-08,1.0
