,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.10702102084638841,0.045102264075796525,0.29091044403372435,0.3824746901593086,0.14700867693993008,1.4777128484369629e-05,1.5002193000934854e-37,0.43539388604705254
flexaggro,0.10702102084638841,1.0,0.8742896294941545,0.16298451984459397,0.22218160951435306,0.057088399418691836,2.5545073793706375e-08,4.2754475107901155e-40,0.0865917048467458
flexaggrod,0.045102264075796525,0.8742896294941545,1.0,0.09359584009148432,0.09327410563808228,0.1548592269508145,3.179188625870685e-08,1.721558366134167e-39,0.21509843827186706
hyaggro,0.29091044403372435,0.16298451984459397,0.09359584009148432,1.0,0.9347667675776589,0.3844256667878303,0.0010376620643268838,2.2986149540631488e-39,0.6696163288585173
hybrid,0.3824746901593086,0.22218160951435306,0.09327410563808228,0.9347667675776589,1.0,0.9405849140026069,0.0014836249837606183,4.224296980526415e-38,0.4194572692164217
payout,0.14700867693993008,0.057088399418691836,0.1548592269508145,0.3844256667878303,0.9405849140026069,1.0,0.01984330073718301,6.032231842443212e-40,0.7226991124282649
random,1.4777128484369629e-05,2.5545073793706375e-08,3.179188625870685e-08,0.0010376620643268838,0.0014836249837606183,0.01984330073718301,1.0,7.12015379614644e-18,0.07789161522718188
rl,1.5002193000934854e-37,4.2754475107901155e-40,1.721558366134167e-39,2.2986149540631488e-39,4.224296980526415e-38,6.032231842443212e-40,7.12015379614644e-18,1.0,2.2211745290565396e-38
wp,0.43539388604705254,0.0865917048467458,0.21509843827186706,0.6696163288585173,0.4194572692164217,0.7226991124282649,0.07789161522718188,2.2211745290565396e-38,1.0
