,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,,,,,,3.576,
flexaggro,,,,,,,1.9460000000000002,4.682,
flexaggrod,,,,,,,1.7739999999999996,4.51,
hyaggro,,,,,,,,3.6340000000000003,
hybrid,,,,,,,,3.5980000000000003,
payout,,,,,,,,3.75,
random,,-1.9460000000000002,-1.7739999999999996,,,,,2.736,
rl,-3.576,-4.682,-4.51,-3.6340000000000003,-3.5980000000000003,-3.75,-2.736,,-3.766
wp,,,,,,,,3.766,
