,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.340776845010639,0.40685426095902766,0.25299793248944685,0.06724262278856155,0.25234442968068266,0.32167288845002373,4.8868058475082274e-08,0.2183180358237077
flexaggro,0.340776845010639,1.0,0.7904683899854248,0.10488695582759822,0.03375827443705831,0.0938106943159626,0.05724126300056098,5.349140351209711e-10,0.07114382038966452
flexaggrod,0.40685426095902766,0.7904683899854248,1.0,0.13267816313828976,0.04311549254758415,0.11535883466121567,0.07156691516715602,7.037072584243235e-10,0.09487937740327197
hyaggro,0.25299793248944685,0.10488695582759822,0.13267816313828976,1.0,0.31216506546576495,0.905205591932736,0.690416657188759,7.320626407320075e-07,0.8066777921471092
hybrid,0.06724262278856155,0.03375827443705831,0.04311549254758415,0.31216506546576495,1.0,0.4184990671716706,0.9354396779696054,1.3939086298692012e-05,0.3965075253589815
payout,0.25234442968068266,0.0938106943159626,0.11535883466121567,0.905205591932736,0.4184990671716706,1.0,0.7333647723793604,1.75621082109133e-06,0.9307252026989548
random,0.32167288845002373,0.05724126300056098,0.07156691516715602,0.690416657188759,0.9354396779696054,0.7333647723793604,1.0,1.6754029780576008e-05,0.7652729268516885
rl,4.8868058475082274e-08,5.349140351209711e-10,7.037072584243235e-10,7.320626407320075e-07,1.3939086298692012e-05,1.75621082109133e-06,1.6754029780576008e-05,1.0,1.206556865350115e-06
wp,0.2183180358237077,0.07114382038966452,0.09487937740327197,0.8066777921471092,0.3965075253589815,0.9307252026989548,0.7652729268516885,1.206556865350115e-06,1.0
