,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,,,,,1.8399999999999999,4.136,
flexaggro,,,,,,,1.73,4.026,
flexaggrod,,,,,,,1.974,4.27,
hyaggro,,,,,,,1.908,4.204,
hybrid,,,,,,,,3.806,
payout,,,,,,,2.2039999999999997,4.5,
random,-1.8399999999999999,-1.73,-1.974,-1.908,,-2.2039999999999997,,2.2960000000000003,-1.884
rl,-4.136,-4.026,-4.27,-4.204,-3.806,-4.5,-2.2960000000000003,,-4.18
wp,,,,,,,1.884,4.18,
