,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.5284066316483493,0.08802520777082068,0.43538613866908715,0.6806105181775352,0.030333682059426905,0.01033192823269484,1.0637081801267799e-12,0.048154305107412254
flexaggro,0.5284066316483493,1.0,0.2865702486634846,0.1725469739391861,0.3069255504225423,0.006721930750014498,0.00185584822164789,5.893749313971701e-15,0.008369380740176876
flexaggrod,0.08802520777082068,0.2865702486634846,1.0,0.03046286513621034,0.042840722544703856,0.00015875068513471712,4.6103830578379005e-05,1.2459181355505419e-17,0.00020745144239997737
hyaggro,0.43538613866908715,0.1725469739391861,0.03046286513621034,1.0,0.718666347298935,0.22030155194210757,0.14818784550513084,9.626284626922298e-08,0.30842273969138967
hybrid,0.6806105181775352,0.3069255504225423,0.042840722544703856,0.718666347298935,1.0,0.0966815494888608,0.048140887291451016,6.15177550819256e-10,0.14753036415262114
payout,0.030333682059426905,0.006721930750014498,0.00015875068513471712,0.22030155194210757,0.0966815494888608,1.0,0.7966161663663921,8.109988936744644e-07,0.8294214387595376
random,0.01033192823269484,0.00185584822164789,4.6103830578379005e-05,0.14818784550513084,0.048140887291451016,0.7966161663663921,1.0,7.603139637476168e-07,0.6443434482113447
rl,1.0637081801267799e-12,5.893749313971701e-15,1.2459181355505419e-17,9.626284626922298e-08,6.15177550819256e-10,8.109988936744644e-07,7.603139637476168e-07,1.0,1.1725731901992445e-06
wp,0.048154305107412254,0.008369380740176876,0.00020745144239997737,0.30842273969138967,0.14753036415262114,0.8294214387595376,0.6443434482113447,1.1725731901992445e-06,1.0
