,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.07349075041340997,0.10261333944987595,0.9062140680062807,0.41388710435621023,0.8866046786102648,0.7108651515838478,1.5853031866107112e-06,0.5795770764007796
flexaggro,0.07349075041340997,1.0,0.6213540574091223,0.077778683959697,0.18340468109377372,0.05307079820869378,0.02769236803630865,2.9119499395776724e-10,0.127801217683609
flexaggrod,0.10261333944987595,0.6213540574091223,1.0,0.10468938994244845,0.2399600501098536,0.07231463083848574,0.04286800164108075,5.225921584043978e-10,0.1739196903380091
hyaggro,0.9062140680062807,0.077778683959697,0.10468938994244845,1.0,0.38399392801441956,0.7134386178892627,0.6476372843424829,1.0409585313873743e-06,0.6604247699900578
hybrid,0.41388710435621023,0.18340468109377372,0.2399600501098536,0.38399392801441956,1.0,0.18459619762170942,0.361461225467246,1.2264519003306803e-07,0.702453488978385
payout,0.8866046786102648,0.05307079820869378,0.07231463083848574,0.7134386178892627,0.18459619762170942,1.0,0.7738672831128737,1.966503112857648e-06,0.41612647178316176
random,0.7108651515838478,0.02769236803630865,0.04286800164108075,0.6476372843424829,0.361461225467246,0.7738672831128737,1.0,9.645961221405832e-06,0.48856863371430825
rl,1.5853031866107112e-06,2.9119499395776724e-10,5.225921584043978e-10,1.0409585313873743e-06,1.2264519003306803e-07,1.966503112857648e-06,9.645961221405832e-06,1.0,3.1648548854694986e-07
wp,0.5795770764007796,0.127801217683609,0.1739196903380091,0.6604247699900578,0.702453488978385,0.41612647178316176,0.48856863371430825,3.1648548854694986e-07,1.0
