,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,,,,,,2.922,
flexaggro,,,,,,,1.6360000000000001,4.304,
flexaggrod,,,,,,,1.498,4.166,
hyaggro,,,,,,,,2.9720000000000004,
hybrid,,,,,,,,3.3040000000000003,
payout,,,,,,,,2.8600000000000003,
random,,-1.6360000000000001,-1.498,,,,,2.668,
rl,-2.922,-4.304,-4.166,-2.9720000000000004,-3.3040000000000003,-2.8600000000000003,-2.668,,-3.16
wp,,,,,,,,3.16,
