,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,,,,1.6280000000000001,1.806,4.514,1.474
flexaggro,,,,,,2.1239999999999997,2.3019999999999996,5.01,1.9699999999999998
flexaggrod,,,,1.9940000000000002,1.6880000000000002,2.988,3.166,5.8740000000000006,2.834
hyaggro,,,-1.9940000000000002,,,,,3.88,
hybrid,,,-1.6880000000000002,,,,1.478,4.186,
payout,-1.6280000000000001,-2.1239999999999997,-2.988,,,,,2.886,
random,-1.806,-2.3019999999999996,-3.166,,-1.478,,,2.708,
rl,-4.514,-5.01,-5.8740000000000006,-3.88,-4.186,-2.886,-2.708,,-3.04
wp,-1.474,-1.9699999999999998,-2.834,,,,,3.04,
