,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.06696512219604075,0.11748307533716483,0.8058379855848972,0.9336648206375783,0.5129467833803891,0.1828468071444264,3.681181023491896e-15,0.526547885040491
flexaggro,0.06696512219604075,1.0,0.0596351757495687,0.08063276206444878,0.07409169078557551,0.13006995946216132,0.005878065518564095,6.254029625522158e-16,0.1429515828966322
flexaggrod,0.11748307533716483,0.0596351757495687,1.0,0.14244838085305092,0.1312752027261047,0.21509440658672635,0.011534692450688135,3.47347372098309e-15,0.23219895201375532
hyaggro,0.8058379855848972,0.08063276206444878,0.14244838085305092,1.0,0.7948039992945476,0.4972557983694511,0.15302532199207527,1.1093713449789708e-15,0.5156208984924917
hybrid,0.9336648206375783,0.07409169078557551,0.1312752027261047,0.7948039992945476,1.0,0.2937612252916039,0.17177256948360609,1.7964125514871593e-15,0.31889115710791904
payout,0.5129467833803891,0.13006995946216132,0.21509440658672635,0.4972557983694511,0.2937612252916039,1.0,0.10831601319225845,4.549154235840418e-16,0.9317521314218273
random,0.1828468071444264,0.005878065518564095,0.011534692450688135,0.15302532199207527,0.17177256948360609,0.10831601319225845,1.0,6.940652699323706e-07,0.10806927411100792
rl,3.681181023491896e-15,6.254029625522158e-16,3.47347372098309e-15,1.1093713449789708e-15,1.7964125514871593e-15,4.549154235840418e-16,6.940652699323706e-07,1.0,1.0844525459895093e-15
wp,0.526547885040491,0.1429515828966322,0.23219895201375532,0.5156208984924917,0.31889115710791904,0.9317521314218273,0.10806927411100792,1.0844525459895093e-15,1.0
