,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,,,,,,3.5420000000000003,
flexaggro,,,,,,,1.498,4.062,
flexaggrod,,,,,,,1.58,4.144,
hyaggro,,,,,,,,3.68,
hybrid,,,,,,,1.5699999999999998,4.134,0.582
payout,,,,,,,,3.7520000000000002,
random,,-1.498,-1.58,,-1.5699999999999998,,,2.564,
rl,-3.5420000000000003,-4.062,-4.144,-3.68,-4.134,-3.7520000000000002,-2.564,,-3.5520000000000005
wp,,,,,-0.582,,,3.5520000000000005,
