,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,1.0,0.27658218091932374,0.2846861977460652,0.6596736197989985,0.6243524432881564,0.688153116087105,0.6710813695880427,1.3464608595919802e-08,0.37032877998361535
flexaggro,0.27658218091932374,1.0,0.8902965540601662,0.3439547342678704,0.3644449047638606,0.3485214063204749,0.1724231912700266,5.401000621066112e-09,0.5336528288115818
flexaggrod,0.2846861977460652,0.8902965540601662,1.0,0.3532090171493294,0.3747625218197602,0.3602418158435159,0.18034365448199444,6.229542106313057e-09,0.5483394536499318
hyaggro,0.6596736197989985,0.3439547342678704,0.3532090171493294,1.0,0.8679670477867278,0.9917428817170693,0.5373010693963416,1.5119346344416314e-08,0.34311172187312455
hybrid,0.6243524432881564,0.3644449047638606,0.3747625218197602,0.8679670477867278,1.0,0.8914875048581599,0.5197078871358978,9.690059445762874e-09,0.38782363523392094
payout,0.688153116087105,0.3485214063204749,0.3602418158435159,0.9917428817170693,0.8914875048581599,1.0,0.541532615277736,1.0517744655110647e-08,0.406186722029671
random,0.6710813695880427,0.1724231912700266,0.18034365448199444,0.5373010693963416,0.5197078871358978,0.541532615277736,1.0,6.60453944264235e-07,0.3893323567262573
rl,1.3464608595919802e-08,5.401000621066112e-09,6.229542106313057e-09,1.5119346344416314e-08,9.690059445762874e-09,1.0517744655110647e-08,6.60453944264235e-07,1.0,3.143271861308894e-09
wp,0.37032877998361535,0.5336528288115818,0.5483394536499318,0.34311172187312455,0.38782363523392094,0.406186722029671,0.3893323567262573,3.143271861308894e-09,1.0
