,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,rl,wp
aggro,,,-1.526,,,,3.278,7.2219999999999995,
flexaggro,,,,,,,4.2299999999999995,9.052,
flexaggrod,1.526,,,,,,4.5120000000000005,8.911999999999999,
hyaggro,,,,,,,2.644,7.264,
hybrid,,,,,,,2.452,7.118,
payout,,,,,,,1.684,7.404,
random,-3.278,-4.2299999999999995,-4.5120000000000005,-2.644,-2.452,-1.684,,5.322,
rl,-7.2219999999999995,-9.052,-8.911999999999999,-7.264,-7.118,-7.404,-5.322,,-7.346
wp,,,,,,,,7.346,
