episode_id,seat,policy_tag,opening_shape,win,reward,start_seat,is_first
0,0,flexaggrod,2.6914,0,0.0,2,0
0,1,aggro,1.7884000000000002,0,0.0,2,0
0,2,aggro,3.478,0,0.0,2,1
0,3,aggro,3.1676,1,0.0,2,0
1,0,flexaggrod,1.7002000000000002,0,0.0,3,0
1,1,aggro,3.3703999999999996,0,0.0,3,0
1,2,aggro,2.8466,1,0.0,3,0
1,3,aggro,2.4392,0,0.0,3,1
2,0,flexaggrod,2.5556,0,0.0,0,1
2,1,aggro,2.2946000000000004,0,0.0,0,0
2,2,aggro,2.3422,0,0.0,0,0
2,3,aggro,2.7496,1,0.0,0,0
3,0,flexaggrod,3.2558,0,0.0,0,1
3,1,aggro,2.8271999999999995,0,0.0,0,0
3,2,aggro,2.0318,1,0.0,0,0
3,3,aggro,1.3703999999999998,0,0.0,0,0
4,0,flexaggrod,2.6332,0,0.0,1,0
4,1,aggro,4.2258,0,0.0,1,1
4,2,aggro,3.2064000000000004,1,0.0,1,0
4,3,aggro,2.06,0,0.0,1,0
5,0,flexaggrod,1.9736,1,0.0,3,0
5,1,aggro,2.0987999999999998,0,0.0,3,0
5,2,aggro,2.9154000000000004,0,0.0,3,0
5,3,aggro,3.4586,0,0.0,3,1
6,0,flexaggrod,2.3898,0,0.0,3,0
6,1,aggro,2.6914,0,0.0,3,0
6,2,aggro,2.829,1,0.0,3,0
6,3,aggro,2.2152000000000003,0,0.0,3,1
7,0,flexaggrod,3.2258,0,0.0,3,0
7,1,aggro,3.1094,0,0.0,3,0
7,2,aggro,2.6526,1,0.0,3,0
7,3,aggro,2.3916000000000004,0,0.0,3,1
8,0,flexaggrod,2.4004000000000003,0,0.0,0,1
8,1,aggro,2.3334,1,0.0,0,0
8,2,aggro,2.7302,0,0.0,0,0
8,3,aggro,3.1482,0,0.0,0,0
9,0,flexaggrod,4.3616,0,0.0,1,0
9,1,aggro,2.5749999999999997,0,0.0,1,1
9,2,aggro,1.4392,0,0.0,1,0
9,3,aggro,2.4110000000000005,0,0.0,1,0
10,0,flexaggrod,2.1782,0,0.0,2,0
10,1,aggro,1.9436,1,0.0,2,0
10,2,aggro,2.5168000000000004,0,0.0,2,1
10,3,aggro,2.3722000000000003,0,0.0,2,0
11,0,flexaggrod,2.1764,1,0.0,3,0
11,1,aggro,2.8378,0,0.0,3,0
11,2,aggro,2.254,0,0.0,3,0
11,3,aggro,2.4004000000000003,0,0.0,3,1
12,0,flexaggrod,1.8572000000000002,0,0.0,0,1
12,1,aggro,2.6138,0,0.0,0,0
12,2,aggro,4.380999999999999,0,0.0,0,0
12,3,aggro,2.4004000000000003,1,0.0,0,0
13,0,flexaggrod,2.3334,0,0.0,2,0
13,1,aggro,1.5467999999999997,0,0.0,2,0
13,2,aggro,2.6719999999999997,0,0.0,2,1
13,3,aggro,3.1288,1,0.0,2,0
14,0,flexaggrod,3.0706000000000007,0,0.0,1,0
14,1,aggro,3.1870000000000003,0,0.0,1,1
14,2,aggro,4.3616,0,0.0,1,0
14,3,aggro,3.1094,1,0.0,1,0
15,0,flexaggrod,3.1870000000000003,0,0.0,2,0
15,1,aggro,3.5467999999999997,0,0.0,2,0
15,2,aggro,1.739,1,0.0,2,1
15,3,aggro,2.6332,0,0.0,2,0
16,0,flexaggrod,1.5362,0,0.0,3,0
16,1,aggro,3.2452,1,0.0,3,0
16,2,aggro,4.3034,0,0.0,3,0
16,3,aggro,2.2064,0,0.0,3,1
17,0,flexaggrod,2.7796000000000003,0,0.0,2,0
17,1,aggro,3.1094,1,0.0,2,0
17,2,aggro,3.0318000000000005,0,0.0,2,1
17,3,aggro,2.7302,0,0.0,2,0
18,0,flexaggrod,4.1094,0,0.0,0,1
18,1,aggro,2.7990000000000004,0,0.0,0,0
18,2,aggro,3.508,0,0.0,0,0
18,3,aggro,3.2258,1,0.0,0,0
19,0,flexaggrod,2.8078,0,0.0,2,0
19,1,aggro,2.0406,0,0.0,2,0
19,2,aggro,3.3916,0,0.0,2,1
19,3,aggro,2.6526,1,0.0,2,0
20,0,flexaggrod,3.508,1,0.0,3,0
20,1,aggro,3.1288,0,0.0,3,0
20,2,aggro,2.3422,0,0.0,3,0
20,3,aggro,2.2258,0,0.0,3,1
21,0,flexaggrod,2.7496,1,0.0,3,0
