episode_id,seat,policy_tag,win,opening_shape
43,2,flexaggrod,1,1.7690000000000001
43,3,flexaggrod,0,2.7990000000000004
44,0,flexaggrod,0,2.7390000000000003
44,1,flexaggrod,0,3.254
44,2,flexaggrod,0,3.254
44,3,flexaggrod,1,3.254
45,0,flexaggrod,0,2.7390000000000003
45,1,flexaggrod,0,2.7390000000000003
45,2,flexaggrod,1,3.12
45,3,flexaggrod,0,3.769
46,0,flexaggrod,0,2.769
46,1,flexaggrod,0,3.769
46,2,flexaggrod,1,2.284
46,3,flexaggrod,0,1.829
47,0,flexaggrod,0,3.254
47,1,flexaggrod,1,3.254
47,2,flexaggrod,0,4.03
47,3,flexaggrod,0,4.09
48,0,flexaggrod,0,5.06
48,1,flexaggrod,1,3.254
48,2,flexaggrod,0,3.769
48,3,flexaggrod,0,2.769
49,0,flexaggrod,1,2.7990000000000004
49,1,flexaggrod,0,3.769
49,2,flexaggrod,0,3.254
49,3,flexaggrod,0,2.284
50,0,flexaggrod,0,3.769
50,1,flexaggrod,0,5.06
50,2,flexaggrod,1,2.284
50,3,flexaggrod,0,2.2239999999999998
51,0,flexaggrod,1,4.09
51,1,flexaggrod,0,2.284
51,2,flexaggrod,0,3.769
51,3,flexaggrod,0,3.0900000000000003
52,0,flexaggrod,0,3.769
52,1,flexaggrod,1,4.06
52,2,flexaggrod,0,2.7990000000000004
52,3,flexaggrod,0,3.254
53,0,flexaggrod,0,4.09
53,1,flexaggrod,0,5.06
53,2,flexaggrod,0,3.769
53,3,flexaggrod,1,5.06
54,0,flexaggrod,0,3.254
54,1,flexaggrod,0,2.7990000000000004
54,2,flexaggrod,0,1.829
54,3,flexaggrod,1,3.769
55,0,flexaggrod,0,2.769
55,1,flexaggrod,1,3.769
55,2,flexaggrod,0,4.06
55,3,flexaggrod,0,3.769
56,0,flexaggrod,0,3.769
56,1,flexaggrod,0,3.769
56,2,flexaggrod,0,2.2239999999999998
56,3,flexaggrod,1,2.7990000000000004
57,0,flexaggrod,0,2.7990000000000004
57,1,flexaggrod,0,2.284
57,2,flexaggrod,1,2.254
57,3,flexaggrod,0,2.7990000000000004
58,0,flexaggrod,1,3.769
58,1,flexaggrod,0,2.7390000000000003
58,2,flexaggrod,0,2.7990000000000004
58,3,flexaggrod,0,2.2239999999999998
59,0,flexaggrod,0,3.769
59,1,flexaggrod,0,4.06
59,2,flexaggrod,1,2.2239999999999998
59,3,flexaggrod,0,3.254
60,0,flexaggrod,0,2.769
60,1,flexaggrod,0,5.06
60,2,flexaggrod,0,4.09
60,3,flexaggrod,1,2.2239999999999998
61,0,flexaggrod,0,3.254
61,1,flexaggrod,0,2.7990000000000004
61,2,flexaggrod,0,3.254
61,3,flexaggrod,1,2.7990000000000004
62,0,flexaggrod,0,3.254
62,1,flexaggrod,1,2.7390000000000003
62,2,flexaggrod,0,4.06
62,3,flexaggrod,0,4.09
63,0,flexaggrod,0,2.2239999999999998
63,1,flexaggrod,0,2.284
63,2,flexaggrod,0,2.2239999999999998
63,3,flexaggrod,1,4.06
64,0,flexaggrod,1,3.769
64,1,flexaggrod,0,3.769
64,2,flexaggrod,0,1.799
64,3,flexaggrod,0,4.03
65,0,flexaggrod,0,3.0900000000000003
65,1,flexaggrod,0,1.3139999999999998
65,2,flexaggrod,0,3.769
65,3,flexaggrod,1,2.7990000000000004
66,0,flexaggrod,0,2.7390000000000003
66,1,flexaggrod,0,3.769
66,2,flexaggrod,0,4.06
66,3,flexaggrod,1,2.284
67,0,flexaggrod,0,3.769
67,1,flexaggrod,1,3.769
67,2,flexaggrod,0,2.284
67,3,flexaggrod,0,2.284
68,0,flexaggrod,0,3.769
68,1,flexaggrod,0,2.769
68,2,flexaggrod,0,2.7390000000000003
68,3,flexaggrod,1,2.7990000000000004
69,0,flexaggrod,1,2.2239999999999998
69,1,flexaggrod,0,2.2239999999999998
69,2,flexaggrod,0,4.09
69,3,flexaggrod,0,3.254
70,0,flexaggrod,0,2.7990000000000004
70,1,flexaggrod,1,2.769
