episode_id,policy_tag,win,opening_shape,points,reward
31,flexaggrod,0,2.7390000000000003,0.0,0.0
31,flexaggrod,0,4.09,0.0,-1.5
32,flexaggrod,0,3.254,0.0,0.0625
32,flexaggrod,1,1.799,0.0,1.25
32,flexaggrod,0,2.7990000000000004,0.0,0.0625
32,flexaggrod,0,3.254,0.0,-1.375
33,flexaggrod,0,4.09,0.0,0.0
33,flexaggrod,0,4.06,0.0,-1.375
33,flexaggrod,0,4.09,0.0,0.0
33,flexaggrod,1,1.3139999999999998,0.0,1.375
34,flexaggrod,0,4.06,0.0,0.0
34,flexaggrod,0,2.254,0.0,0.0
34,flexaggrod,1,3.769,0.0,1.625
34,flexaggrod,0,2.7990000000000004,0.0,-1.625
35,flexaggrod,0,2.769,0.0,0.0
35,flexaggrod,1,5.06,0.0,1.4375
35,flexaggrod,0,3.254,0.0,-1.4375
35,flexaggrod,0,5.06,0.0,0.0
36,flexaggrod,0,3.769,0.0,-1.375
36,flexaggrod,1,2.7990000000000004,0.0,1.375
36,flexaggrod,0,3.769,0.0,0.0
36,flexaggrod,0,2.7990000000000004,0.0,0.0
37,flexaggrod,0,3.769,0.0,-1.375
37,flexaggrod,0,3.769,0.0,-1.375
37,flexaggrod,0,4.09,0.0,-1.375
37,flexaggrod,1,2.7990000000000004,0.0,4.125
38,flexaggrod,0,3.254,0.0,-1.375
38,flexaggrod,1,2.7390000000000003,0.0,1.375
38,flexaggrod,0,3.06,0.0,0.0
38,flexaggrod,0,2.254,0.0,0.0
39,flexaggrod,0,3.254,0.0,0.0
39,flexaggrod,0,2.2239999999999998,0.0,0.0
39,flexaggrod,0,1.709,0.0,-1.375
39,flexaggrod,1,3.254,0.0,1.375
40,flexaggrod,0,1.2839999999999998,0.0,0.0
40,flexaggrod,1,3.254,0.0,1.375
40,flexaggrod,0,4.09,0.0,0.0
40,flexaggrod,0,2.769,0.0,-1.375
41,flexaggrod,1,3.769,0.0,4.3125
41,flexaggrod,0,4.09,0.0,-1.4375
41,flexaggrod,0,3.769,0.0,-1.4375
41,flexaggrod,0,3.254,0.0,-1.4375
42,flexaggrod,0,3.254,0.0,-2.5625
42,flexaggrod,0,2.2239999999999998,0.0,-2.5625
42,flexaggrod,0,3.254,0.0,-2.5625
42,flexaggrod,1,2.284,0.0,7.5
43,flexaggrod,0,4.06,0.0,0.0
43,flexaggrod,0,4.03,0.0,0.0
43,flexaggrod,0,3.254,0.0,-2.625
43,flexaggrod,1,1.254,0.0,2.625
44,flexaggrod,0,2.769,0.0,0.0
44,flexaggrod,0,2.7990000000000004,0.0,0.0
44,flexaggrod,0,3.254,0.0,0.0
44,flexaggrod,0,3.769,0.0,0.0
45,flexaggrod,1,2.284,0.0,4.125
45,flexaggrod,0,2.284,0.0,-1.375
45,flexaggrod,0,4.09,0.0,-1.375
45,flexaggrod,0,3.254,0.0,-1.375
46,flexaggrod,0,3.769,0.0,-1.5
46,flexaggrod,0,5.06,0.0,0.0
46,flexaggrod,0,4.09,0.0,0.0
46,flexaggrod,1,2.769,0.0,1.5
47,flexaggrod,0,4.09,0.0,0.0
47,flexaggrod,0,2.7990000000000004,0.0,-2.5625
47,flexaggrod,1,2.7390000000000003,0.0,2.5625
47,flexaggrod,0,2.254,0.0,0.0
48,flexaggrod,0,2.7390000000000003,0.0,-1.375
48,flexaggrod,0,3.769,0.0,-1.375
48,flexaggrod,1,2.7390000000000003,0.0,4.125
48,flexaggrod,0,4.06,0.0,-1.375
49,flexaggrod,0,3.254,0.0,0.0
49,flexaggrod,0,1.799,0.0,-1.5
49,flexaggrod,0,2.7990000000000004,0.0,0.0
49,flexaggrod,1,3.769,0.0,1.5
50,flexaggrod,0,2.284,0.0,0.0
50,flexaggrod,0,3.769,0.0,0.0
50,flexaggrod,0,3.254,0.0,-1.4375
50,flexaggrod,1,2.769,0.0,1.4375
51,flexaggrod,0,4.09,0.0,-1.4375
51,flexaggrod,0,2.7390000000000003,0.0,0.0
51,flexaggrod,0,2.7990000000000004,0.0,0.0
51,flexaggrod,1,4.09,0.0,1.4375
52,flexaggrod,0,3.769,0.0,0.0
52,flexaggrod,1,2.7990000000000004,0.0,1.5
52,flexaggrod,0,3.769,0.0,0.0
52,flexaggrod,0,2.2239999999999998,0.0,-1.5
53,flexaggrod,1,2.769,0.0,1.3125
53,flexaggrod,0,2.7390000000000003,0.0,-1.3125
53,flexaggrod,0,2.7990000000000004,0.0,0.0
53,flexaggrod,0,3.254,0.0,0.0
54,flexaggrod,0,3.254,0.0,-1.3125
54,flexaggrod,0,3.254,0.0,-1.3125
54,flexaggrod,1,2.769,0.0,3.9375
54,flexaggrod,0,3.254,0.0,-1.3125
55,flexaggrod,0,2.769,0.0,-1.3125
55,flexaggrod,1,4.09,0.0,3.9375
55,flexaggrod,0,3.769,0.0,-1.3125
55,flexaggrod,0,2.7390000000000003,0.0,-1.3125
56,flexaggrod,0,3.0900000000000003,0.0,-1.3125
56,flexaggrod,0,2.7990000000000004,0.0,-1.3125
56,flexaggrod,1,5.06,0.0,3.9375
56,flexaggrod,0,3.254,0.0,-1.3125
57,flexaggrod,0,2.7390000000000003,0.0,0.0
57,flexaggrod,0,3.12,0.0,-1.5
57,flexaggrod,0,2.769,0.0,0.0
57,flexaggrod,1,2.7990000000000004,0.0,1.5
58,flexaggrod,0,3.769,0.0,0.0
58,flexaggrod,1,1.799,0.0,1.375
58,flexaggrod,0,4.09,0.0,0.0
58,flexaggrod,0,4.09,0.0,-1.375
59,flexaggrod,1,3.769,0.0,1.4375
59,flexaggrod,0,3.769,0.0,-1.4375
59,flexaggrod,0,3.0900000000000003,0.0,0.0
59,flexaggrod,0,2.769,0.0,0.0
60,flexaggrod,0,3.254,0.0,0.0
60,flexaggrod,0,2.769,0.0,-1.3125
60,flexaggrod,0,3.254,0.0,0.0
60,flexaggrod,1,2.769,0.0,1.3125
