,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,,,,1.577,
flexaggro,,,,,,,2.226,
flexaggrod,,,,,,,2.364,
hyaggro,,,,,,,1.565,
hybrid,,,,,,,1.608,
payout,,,,,,,1.706,
random,-1.577,-2.226,-2.364,-1.565,-1.608,-1.706,,-1.714
wp,,,,,,,1.714,
