,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.003079092016114675,0.00011490540170463483,0.8925003095113689,0.9714429038135847,0.6952306445105075,2.8975531852809493e-06,0.6997526494012963
flexaggro,0.003079092016114675,1.0,0.9725259033391239,0.00248438515113631,0.01527284900324417,0.00888361972722891,2.1141250421777645e-12,0.020755752317306198
flexaggrod,0.00011490540170463483,0.9725259033391239,1.0,0.0040568127705774,0.009466037008170426,0.0006801656838726474,1.094145157214965e-09,0.004514862831574341
hyaggro,0.8925003095113689,0.00248438515113631,0.0040568127705774,1.0,0.44757800552910454,0.5984811417688345,1.0088992091585461e-06,0.6691175299529643
hybrid,0.9714429038135847,0.01527284900324417,0.009466037008170426,0.44757800552910454,1.0,0.6214078322647263,0.10803696344182863,0.7682528303885648
payout,0.6952306445105075,0.00888361972722891,0.0006801656838726474,0.5984811417688345,0.6214078322647263,1.0,5.025400443877286e-07,0.824902112906942
random,2.8975531852809493e-06,2.1141250421777645e-12,1.094145157214965e-09,1.0088992091585461e-06,0.10803696344182863,5.025400443877286e-07,1.0,0.0005928058898053513
wp,0.6997526494012963,0.020755752317306198,0.004514862831574341,0.6691175299529643,0.7682528303885648,0.824902112906942,0.0005928058898053513,1.0
