,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.004920013815702405,0.006061617011598014,0.5229418497846827,0.18477145914022325,0.2317959418216686,0.07888515876323313,0.3630733855654511
flexaggro,0.004920013815702405,1.0,0.6523771590281091,0.011160958339296917,0.029169153954313274,0.024569559825221902,1.6655657044623213e-05,0.018585647404358138
flexaggrod,0.006061617011598014,0.6523771590281091,1.0,0.014205934304674067,0.03568695422443953,0.0313264302781963,2.400462438661105e-05,0.022705919331960277
hyaggro,0.5229418497846827,0.011160958339296917,0.014205934304674067,1.0,0.276777275372606,0.3468917134374503,0.04375256910360857,0.601790262661603
hybrid,0.18477145914022325,0.029169153954313274,0.03568695422443953,0.276777275372606,1.0,0.7623683428504203,0.01818058921604787,0.5629363446387999
payout,0.2317959418216686,0.024569559825221902,0.0313264302781963,0.3468917134374503,0.7623683428504203,1.0,0.022022776353818666,0.7072389143335375
random,0.07888515876323313,1.6655657044623213e-05,2.400462438661105e-05,0.04375256910360857,0.01818058921604787,0.022022776353818666,1.0,0.02942915360189563
wp,0.3630733855654511,0.018585647404358138,0.022705919331960277,0.601790262661603,0.5629363446387999,0.7072389143335375,0.02942915360189563,1.0
