,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.06766130948598265,0.00610024452343376,0.4936845291224409,0.8358610255332286,0.8771720695792098,0.003087238205919225,0.9134519334049881
flexaggro,0.06766130948598265,1.0,0.059938711913134976,0.1483416024833357,0.07932085579152559,0.07965647703278926,8.060064005231873e-06,0.06974599882958166
flexaggrod,0.00610024452343376,0.059938711913134976,1.0,0.01891409478966838,0.008326188091538365,0.009297700462680377,1.5787278991540545e-07,0.006482165382781155
hyaggro,0.4936845291224409,0.1483416024833357,0.01891409478966838,1.0,0.5834355104240767,0.5121077403879402,0.0006553101898131187,0.44929681678668065
hybrid,0.8358610255332286,0.07932085579152559,0.008326188091538365,0.5834355104240767,1.0,0.9398624115752068,0.001607350462736184,0.8864350267175709
payout,0.8771720695792098,0.07965647703278926,0.009297700462680377,0.5121077403879402,0.9398624115752068,1.0,0.0021778636926179117,0.9463317933547775
random,0.003087238205919225,8.060064005231873e-06,1.5787278991540545e-07,0.0006553101898131187,0.001607350462736184,0.0021778636926179117,1.0,0.002388236637575152
wp,0.9134519334049881,0.06974599882958166,0.006482165382781155,0.44929681678668065,0.8864350267175709,0.9463317933547775,0.002388236637575152,1.0
