,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.1179287729300611,0.04280802986656788,0.4193590101565231,0.38720331257698515,0.7903277770512079,0.010034283957326463,0.9580383990510614
flexaggro,0.1179287729300611,1.0,0.267663254821462,0.25163900749546175,0.03540777513280229,0.08224104769808069,6.156914594856089e-05,0.12352156818983563
flexaggrod,0.04280802986656788,0.267663254821462,1.0,0.1014904222432225,0.009709813711220889,0.027400842602836782,1.5155403570646305e-05,0.04450825920313316
hyaggro,0.4193590101565231,0.25163900749546175,0.1014904222432225,1.0,0.07644904036952734,0.2578243326970495,0.0023238545597985,0.41508754803426784
hybrid,0.38720331257698515,0.03540777513280229,0.009709813711220889,0.07644904036952734,1.0,0.5181171721702884,0.031017859302430683,0.4228278258233873
payout,0.7903277770512079,0.08224104769808069,0.027400842602836782,0.2578243326970495,0.5181171721702884,1.0,0.013254107250732412,0.8297467824280278
random,0.010034283957326463,6.156914594856089e-05,1.5155403570646305e-05,0.0023238545597985,0.031017859302430683,0.013254107250732412,1.0,0.011898168747689081
wp,0.9580383990510614,0.12352156818983563,0.04450825920313316,0.41508754803426784,0.4228278258233873,0.8297467824280278,0.011898168747689081,1.0
