,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,1.0,0.08442586142525892,0.044584630558997855,0.04592779827852775,0.4314425278577294,0.5101176708142846,0.2837427331268155,0.262931365796552
flexaggro,0.08442586142525892,1.0,0.49964635187069584,0.5025961628061688,0.20443475436745742,0.1629521062458455,0.010737649084384487,0.2782489421968927
flexaggrod,0.044584630558997855,0.49964635187069584,1.0,0.3246517803744581,0.11531178615287042,0.08775569126370251,0.005105774975227154,0.16749319564954454
hyaggro,0.04592779827852775,0.5025961628061688,0.3246517803744581,1.0,0.227335097871511,0.1259760387331475,0.04269199214318571,0.46852927251154
hybrid,0.4314425278577294,0.20443475436745742,0.11531178615287042,0.227335097871511,1.0,0.834550939369516,0.13653571250978613,0.6704546050323615
payout,0.5101176708142846,0.1629521062458455,0.08775569126370251,0.1259760387331475,0.834550939369516,1.0,0.16472078761520292,0.5625575779695325
random,0.2837427331268155,0.010737649084384487,0.005105774975227154,0.04269199214318571,0.13653571250978613,0.16472078761520292,1.0,0.09395016323462699
wp,0.262931365796552,0.2782489421968927,0.16749319564954454,0.46852927251154,0.6704546050323615,0.5625575779695325,0.09395016323462699,1.0
