,aggro,flexaggro,flexaggrod,hyaggro,hybrid,payout,random,wp
aggro,,,,,,,1.5499999999999998,
flexaggro,,,,,,,2.416,
flexaggrod,,,,,,,2.218,
hyaggro,,,,,,,1.5899999999999999,
hybrid,,,,,,,1.474,
payout,,,,,,,1.442,
random,-1.5499999999999998,-2.416,-2.218,-1.5899999999999999,-1.474,-1.442,,-1.7149999999999999
wp,,,,,,,1.7149999999999999,
